timestamp,r11,r12,r13,t1,r21,r22,r23,t2,r31,r32,r33,t3
0,1,0,0,0,0,1,0,0,0,0,1,0
0.1038752,0.999978721,0.000361846,-0.006516571,-0.007776582,-0.000359798,0.999999881,0.000315446,0.000402791,0.006516685,-0.000313094,0.999978721,0.092416734
0.2078941,0.999906957,0.001123244,-0.013594908,-0.016596172,-0.001120616,0.999999344,0.00020096,-0.001055518,0.013595125,-0.000185706,0.999907553,0.193190977
0.3117497,0.999778211,0.001332445,-0.021017468,-0.030436376,-0.001341198,0.999999046,-0.000402355,-0.003250245,0.021016911,0.000430454,0.999779046,0.287668526
0.415622,0.999539912,0.001931563,-0.030269586,-0.041952476,-0.001988536,0.999996305,-0.001852218,-0.002774144,0.030265896,0.001911558,0.999540031,0.391514838
0.5194988,0.999120176,0.001957503,-0.041893106,-0.056719027,-0.002100345,0.999992132,-0.003365919,-0.003969094,0.041886188,0.003450947,0.999116421,0.507269561
0.6233766,0.998462498,0.001818715,-0.055401783,-0.078830123,-0.002055215,0.999989033,-0.004212147,-0.005359372,0.055393513,0.004319533,0.998455286,0.632864356
0.7271218,0.997415543,0.001970514,-0.071821585,-0.104938835,-0.002269463,0.999989092,-0.00408101,-0.007476402,0.071812756,0.004233459,0.997409165,0.770466208
0.830874,0.99593997,0.000533754,-0.090018064,-0.141291246,-0.000930786,0.999990046,-0.004368662,-0.004319853,0.09001483,0.004434713,0.995930552,0.919144332
0.9346218,0.993903041,-0.000676338,-0.110255606,-0.170243666,0.000200763,0.999990642,-0.004324431,-0.011190831,0.110257491,0.00427593,0.993893862,1.080034494
1.038404,0.991203368,-0.000778606,-0.132345229,-0.220107391,0.000124911,0.999987781,-0.004947551,-0.011911978,0.132347465,0.004887498,0.991191328,1.249608159
1.142127,0.987724245,0.002777561,-0.156182915,-0.280785173,-0.003800982,0.999973238,-0.006254431,-0.015770648,0.156161368,0.006771302,0.98770833,1.416487694
1.245873,0.983346879,0.006816391,-0.181610733,-0.343507439,-0.008369784,0.999934614,-0.007788392,-0.02080901,0.181545779,0.009178733,0.983339667,1.587447524
1.349627,0.977981269,0.009943592,-0.208455771,-0.416434407,-0.012004944,0.999890745,-0.008625827,-0.028375009,0.208347231,0.010938397,0.977993727,1.771675587
